Delegacia_Orgaos,Delegadotitular_Diretor,TipoTabela
"088ª DP  Barra do Piraí   Rua Paulo de Frontin, 132",Carina da Silva Bastos,DGPI - Departamento Geral de Polícia do Interior
"089ª DP  Resende   Rua Guita Ferreira da Rocha, s/nº",Marcelo Nunes Ribeiro,DGPI - Departamento Geral de Polícia do Interior
"090ª DP  Barra Mansa   Av. Domingos Mariano, s/nº",Ronaldo Aparecido Ferreira Brito,DGPI - Departamento Geral de Polícia do Interior
"091ª DP  Valença   Rodovia RJ, 145-lote 28",Luciano Coelho dos Santos,DGPI - Departamento Geral de Polícia do Interior
"092ª DP  Rio das Flores   Rua João Carvalho da Rocha, 71",Luciano Coelho dos Santos,DGPI - Departamento Geral de Polícia do Interior
"093ª DP  Volta Redonda   Rua Lucas Evangelista, 667",Eliezer Lourenço Costa,DGPI - Departamento Geral de Polícia do Interior
094ª DP  Piraí   Rua 15 de Novembro 290,Marco Antonio de A. Alves,DGPI - Departamento Geral de Polícia do Interior
"095ª DP  Vassouras   Av. Mal. Paulo Torres, 477",Renato Soares Vieira,DGPI - Departamento Geral de Polícia do Interior
"096ª DP   Miguel Pereira   Rua Zeni Esteves, s/nº-Pça da Band",Marcello Braga Maia,DGPI - Departamento Geral de Polícia do Interior
"097ª DP  Mendes   Rua Maria Caetana, 54",Luiz Fernando Nader Damasceno,DGPI - Departamento Geral de Polícia do Interior
"098ª DP  Eng. Paulo de Frontin  RJ/127 22125, São Lourenço",Luiz Fernando Nader Damasceno,DGPI - Departamento Geral de Polícia do Interior
"099ª DP  Itatiaia   Av. Dois, Lote A - Jardim Itatiaia",Vicente Maximiliano Rodrigues Barbosa,DGPI - Departamento Geral de Polícia do Interior
"100ª DP  Porto Real   Rua Ariosto Roberto Pederassi, 570",Marcelo dos Santos Haddad,DGPI - Departamento Geral de Polícia do Interior
"101ª DP  Pinheiral   Rua José Breves, 294 - Central",Antonio da Luz Furtado,DGPI - Departamento Geral de Polícia do Interior
"104ª DP  São J. V. Rio Preto   Rua Alfredo Jacintho Franco, s/nº",Paulo César Vieira,DGPI - Departamento Geral de Polícia do Interior
"105ª DP  Petrópolis   Avenida Barão do Rio Branco, s/nº.",Cláudio Batista Teixeira,DGPI - Departamento Geral de Polícia do Interior
"106ª DP  Itaipava   Estrada União Indústria, 8.764",Nei José Ramos Costa,DGPI - Departamento Geral de Polícia do Interior
"107ª DP  Paraíba do Sul   Praça Garcia, 27",Claudia Teresa Nardy Abbud,DGPI - Departamento Geral de Polícia do Interior
"108ª DP  Três Rios   Av. Castro Alves, 116",Andre Luiz Pinto Lourenço,DGPI - Departamento Geral de Polícia do Interior
"109ª DP  Sapucaia   Rua Rafael Langone,600",Marcelo Cunha Vieira,DGPI - Departamento Geral de Polícia do Interior
"110ªDP  Teresópolis   Av. Alberto Torres, 569",Paulo Roberto Lima de Freitas,DGPI - Departamento Geral de Polícia do Interior
"111ª DP  Sumidouro   Rua Carlos Alberto P. de Moura Junior, 74",Vinicius Paiva Galhardo,DGPI - Departamento Geral de Polícia do Interior
"112ª DP  Carmo   Praça Alexandre de Mello, 109",Herbert Tavares Cardoso,DGPI - Departamento Geral de Polícia do Interior
"118ª DP  Araruama   Rua Bernardo de Vasconcelos, 755",Luiz Henrique Marques Pereira,DGPI - Departamento Geral de Polícia do Interior
"119ª DP  Rio Bonito    Av.Antonio Carlos de Souza Guadelupe, s/nº - Green Valley",Carlos Eduardo Pereira Almeida,DGPI - Departamento Geral de Polícia do Interior
"120ª DP  Silva Jardim    RuaComandante Pereira Filho, 51",Juaraci Rodrigues Cardoso Vieira,DGPI - Departamento Geral de Polícia do Interior
"121ª DP  Casemiro de Abreu    Rua Geny da Cruz Leite, s/nº",Daniela dos Santos Rebelo Pinto,DGPI - Departamento Geral de Polícia do Interior
"122ª DP  Conceição de Macabu   Rua Plácido Freire, 72",Franquis Dias Nepomuceno,DGPI - Departamento Geral de Polícia do Interior
"123ª DP  Macaé    Rua São João, nº 35  Centro - Macaé",Filipi Poeys Lima,DGPI - Departamento Geral de Polícia do Interior
"124ª DP  Saquarema   Rua Dr. Luiz Januário, 201",Leonardo Luis Macharet,DGPI - Departamento Geral de Polícia do Interior
"125ª DP - São Pedro D´Adeia  Av. Nsa. Sra. Fátima, frte 312",Jorge Luiz da Silva Veloso,DGPI - Departamento Geral de Polícia do Interior
"126ª DP  Cabo Frio   Rua Teixeira e Souza, s/nº",Renato dos Santos Mariano,DGPI - Departamento Geral de Polícia do Interior
127ª DP  Armação de Búzios   Avenida Parque s/n,Rômulo Prado de Mesquita,DGPI - Departamento Geral de Polícia do Interior
"128ª DP  Rio das Ostras   Av. Jane Maria Martins Figueira, s/n/ -  Jardim Marileia",Juliana Rattes C. de Queiroz,DGPI - Departamento Geral de Polícia do Interior
"129ª DP  Iguaba Grande  Rua Profeta Jeremias, s/nº",Janaina Cristina Peregrino,DGPI - Departamento Geral de Polícia do Interior
"130ª DP  Quissamã  Estrada do Correio Imperial, s/nº - Piteiras",Ivailson Moreira Sardinha,DGPI - Departamento Geral de Polícia do Interior
"132ª DP  Arraial do Cabo  Av. General Bruno Martins, s/nº",Flavia Goes Monteiro Romero de Barros,DGPI - Departamento Geral de Polícia do Interior
"134ª DP  Campos    Rua Barão de Miracema, 231",Geraldo Rangel de Andrade Júnior,DGPI - Departamento Geral de Polícia do Interior
"135ª DP  Itaocara   Av. Roberto Silveira, 84",Luiz Augusto Carvalho de Souza,DGPI - Departamento Geral de Polícia do Interior
"136ª DP  S. Antônio de Pádua   Rua Arthur Silva, 151",Rudolph Bruno Anastácio,DGPI - Departamento Geral de Polícia do Interior
"137ª DP  Miracema    Rua Irineu Sodré, 178",Vilson de Almeida Silva,DGPI - Departamento Geral de Polícia do Interior
"138ª DP  Laje do Muriaé   Rua Hélio M. de Sá, s/nº",Bruno Cleuder de Melo,DGPI - Departamento Geral de Polícia do Interior
"139ª DP  Porciúncula    Rua Antônio Duarte, s/nº",Uillian Rodrigues Costa,DGPI - Departamento Geral de Polícia do Interior
"140ª DP  Natividade   Av. Gov. Roberto Silveira, s/nº",Gesner Cesar Bruno,DGPI - Departamento Geral de Polícia do Interior
"141ª DP  São Fidelis   Av. Pres. Kennedy, 17",Rodrigo Vinicius Andrade Maia,DGPI - Departamento Geral de Polícia do Interior
"142ª DP  Cambuci   Rua 13 de Maio, 303",Luiz Augusto Carvalho de Souza,DGPI - Departamento Geral de Polícia do Interior
143ª DP  Itaperuna   Delegacia Delegado Titular Telefones,Márcio Caldas Dias Mello,DGPI - Departamento Geral de Polícia do Interior
"144ª DP  B. Jesus Itabapoana   Av. Gov. Roberto Silveira, 148",Avelino C. L. Filho,DGPI - Departamento Geral de Polícia do Interior
145ª DP  São João da Barra  Rod. BR 356  Campos - Atafona,Carlos Augusto G. da Silva,DGPI - Departamento Geral de Polícia do Interior
146ª DP  Guarus   Rua Patrício Menezes e Hipólito Sardinha,Luis Mauricio Armond Campos,DGPI - Departamento Geral de Polícia do Interior
"147ª DP  S Francisco Itabapoana   Rua Joaquim da Mota Sobrinho, 230",Ivana Maria Peres Morgado,DGPI - Departamento Geral de Polícia do Interior
"148ª DP  Italva  Rua Aristides Gonçalves de Souza, s/nº",Maurício Barros de Azevedo,DGPI - Departamento Geral de Polícia do Interior
"151ª DP  Nova Friburgo  Rua Teresópolis, s/nº",Mario Roberto Arruda,DGPI - Departamento Geral de Polícia do Interior
"152ª DP  Duas Barras   Rua Getúlio Vargas, 22",Mariana Thomé de Moraes,DGPI - Departamento Geral de Polícia do Interior
"153ª DP  Cantagalo   Rua Getúlio Vargas, 114",Carlos Alexandre Leite Justiniano,DGPI - Departamento Geral de Polícia do Interior
"154ª DP  Cordeiro  Av. Pres. Vargas, 296",Robson Pizzo Braga,DGPI - Departamento Geral de Polícia do Interior
"155ª DP  São Sebastião do Alto  Cel. Fco. Salustiano Pinto, 210",Renato José Mascarenhas Perez,DGPI - Departamento Geral de Polícia do Interior
"156ª DP  Santa Maria Madalena   Rua Cel. Brás, s/nº",Carla Vargas de Oliveira,DGPI - Departamento Geral de Polícia do Interior
"157ª DP  Trajano de Moraes   Alameda Rui Barbosa, s/nº",Henrique Paulo Mesquita Pessoa,DGPI - Departamento Geral de Polícia do Interior
"158ª DP  Bom Jardim   Praça Gov. Roberto Silveira, 170",Gilberto Soares da Silva,DGPI - Departamento Geral de Polícia do Interior
"159ª DP  Cachoeira de Macacu   Av. Lord Baden Powel, 93",Clovis Souza Moreira,DGPI - Departamento Geral de Polícia do Interior
"165ª DP  Mangaratiba   Estrada São João Marcos, s/nº",Milton Siqueira Junior,DGPI - Departamento Geral de Polícia do Interior
"166ª DP  Angra dos Reis   Rua Dr. Coutinho, 6",Bruno Gilaberte Freitas Savignon,DGPI - Departamento Geral de Polícia do Interior
"167ª DP  Paraty  Rua Roberto da Silveira , s/n",Uriel Alcantara Machado Nunes,DGPI - Departamento Geral de Polícia do Interior
"168ª DP  Rio Claro   Rua Fagundes de Varela, 74",Michel André Murillo Floroschk,DGPI - Departamento Geral de Polícia do Interior
"4ª DPA Região dos Lagos, Niterói e São Gonçalo  Rua Dr. Porciúncula s/nº, Venda da Cruz, São Gonçalo",Jose Renato Magnani Chernicharo,DGPI - Departamento Geral de Polícia do Interior
