nome,nome_regimental,origem,camara,telefone
                Eros Piceli,                Eros Piceli,                Concurso,Câmara Especial de Presidentes                                                  ,                    Vice-Presidente                                                                                                           : (11) 2895-4524
                Eros Piceli,                Eros Piceli,                Concurso,33ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4524
                José Araldo da Costa Telles,                Araldo Telles,                Concurso,Grupo Especial Privado - Subseção I                                             ,                    Desembargador                                                                                                             : (11) 3295-5000
                José Araldo da Costa Telles,                Araldo Telles,                Concurso,Turma Especial Privado - Subseção I                                             ,                    Desembargador (Suplente)                                                                                                  : (11) 3295-5000
                José Araldo da Costa Telles,                Araldo Telles,                Concurso,Câmara Especial de Falências e Recuperações Judiciais                           ,                    Desembargador                                                                                                             : (11) 3295-5000
                José Araldo da Costa Telles,                Araldo Telles,                Concurso,10ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 3295-5000
                José Orestes de Souza Nery,                Souza Nery,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3209-5792
                José Orestes de Souza Nery,                Souza Nery,                Concurso,12ª Câmara de Direito Público                                                   ,                    Desembargador                                                                                                             : (11) 3209-5792
                Luiz Alberto de Lorenzi,                Luiz de Lorenzi,                Concurso,16ª Câmara de Direito Público                                                   ,                    Desembargador                                                                                                             : (11) 2899-5000
                Luiz Antonio Figueiredo Gonçalves,                Figueiredo Gonçalves,                Concurso,1ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Luiz Augusto Gomes Varjão,                Gomes Varjão,                Concurso,Grupo Especial Privado - Subseção III                                           ,                    Desembargador                                                                                                             : (11) 2895-4536
                Luiz Augusto Gomes Varjão,                Gomes Varjão,                Concurso,Turma Especial Privado - Subseção III                                           ,                    Desembargaor                                                                                                              : (11) 2895-4536
                Luiz Augusto Gomes Varjão,                Gomes Varjão,                Concurso,34ª Câmara de Direito Privado                                                   ,                    Desembargador                                                                                                             : (11) 2895-4536
